"filename", "language", "C++", "Python", "C", "comment", "blank", "total"
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/background.c", "C", 0, 0, 134, 21, 27, 182
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/background.h", "C++", 94, 0, 0, 36, 27, 157
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/background_game.c", "C", 0, 0, 85, 15, 23, 123
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/background_game.h", "C++", 9, 0, 0, 1, 3, 13
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/constants.c", "C", 0, 0, 104, 5, 11, 120
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/constants.h", "C++", 114, 0, 0, 12, 23, 149
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/extract_functions.py", "Python", 0, 263, 0, 39, 36, 338
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/game.c", "C", 0, 0, 396, 98, 84, 578
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/game.h", "C++", 72, 0, 0, 14, 18, 104
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/level.h", "C++", 0, 0, 0, 0, 1, 1
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/main.c", "C", 0, 0, 87, 8, 22, 117
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/render.c", "C", 0, 0, 260, 78, 77, 415
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/render.h", "C++", 19, 0, 0, 1, 5, 25
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/road.c", "C", 0, 0, 184, 145, 48, 377
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/road.h", "C++", 51, 0, 0, 1, 8, 60
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/util.c", "C", 0, 0, 53, 24, 19, 96
"/home/horatiobelter/Desktop/Programming/Pseudo 3D Racer/v17 - New sliding background with broken parallax/util.h", "C++", 18, 0, 0, 0, 2, 20
"Total", "-", 377, 263, 1303, 498, 434, 2875